Index,Category,Condition,Paragraphe,Adapt_Poso,Anticholinergiques selon l'ANSM,Charge anticholinergique centrale,Charge anticholinergique périphérique,Torsadogène,Dépresseur_SNC,Médicam inapprop,Hypok,HyperK,Bradycardisant,HypoT_Ortho,Pro_convul
# Choisir un médicament,,,,,,,,,,,,,,,
Acenocoumarol [SINTROM / MINI-SINTROM],Contrôle des indications :,"Antécédent de cardiopathie emboligène (fibrillations/flutter auriculaires, tachycardie atriale, valvulopathie mitral, prothèse mécanique) :","Prévention des complications thromboemboliques [d'une fibrillation auriculaire/ d'un flutter atrial/ d'une tachycardie atriale/ d'une valvulopathie mitrale/ d'une prothèse valvulaire mécanique]. Le dernier INR réalisé le ../../…. était de ... . [À poursuivre, augmenter ou diminuer selon l'INR]",(À TRAITER),0,0,0,0,0,0,0,0,0,0,0
Acenocoumarol [SINTROM / MINI-SINTROM],Contrôle des indications :,"Antécédent d'infarctus du myocarde compliqué (avec thrombus mural, dysfonction ventriculaire gauche sévère ou dyskinésie emboligène) :","Prévention des complications thromboemboliques d'un infarctus du myocarde [Si possible donné la date] compliqué [d'un thrombus mural / d'une dysfonction ventriculaire gauche sévère/ d'une dyskinésie emboligène]. Le dernier INR réalisé le ../../…. était de ... . [À poursuivre, augmenter ou diminuer selon l'INR]",(À TRAITER),0,0,0,0,0,0,0,0,0,0,0
Acenocoumarol [SINTROM / MINI-SINTROM],Contrôle des indications :,Antécédent de Thrombose Veineuse Profonde (TVP) ou d'Embolie Pulmonaire (EP) :,"Prévention des récidives des évènements thromboemboliques sous forme de TVP ou d’EP. Le dernier INR réalisé le ../../…. était de ... . [À poursuivre, augmenter ou diminuer selon l'INR]",(À TRAITER),0,0,0,0,0,0,0,0,0,0,0
Acetyl-leucine [TANGANIL],Contrôle des indications :,Antécédent de vertige :,Prise en charge symptomatique de la crise vertigineuse. A reprendre si besoin.,(À TRAITER),0,0,0,0,0,0,0,0,0,0,0
Acide folique [SPECIAFOLDINE],Contrôle des indications :,Patient anémié :,Prise en charge de l’anémie macrocytaire par carence en vitamine B9. A reprendre selon le dosage de la Vitamine B9.,(À TRAITER),0,0,0,0,0,0,0,0,0,0,0
Acide folique [SPECIAFOLDINE],Contrôle des indications :,Co-prescription de méthotrexate :,Co-administration avec le méthotrexate pour éviter sa toxicité. Préciser le jour de prise exact. A reprendre.,(À TRAITER),0,0,0,0,0,0,0,0,0,0,0
Acide folique [SPECIAFOLDINE],Contrôle des posologies :,Prescription en dosage 0.4 mg :,Dosage à 0.4 mg est réservé pour les femmes enceintes. Si besoin d’une supplémentation en Vitamine B9 Privilégier l’acide folique à 5mg/J.,(À TRAITER),0,0,0,0,0,0,0,0,0,0,0
Acide valproïque [DEPAKINE],,(À TRAITER),(À TRAITER),(À TRAITER),0,0,0,0,0,0,0,0,0,0,0
Acebutolol [SECTRAL],,(À TRAITER),(À TRAITER),(À TRAITER),0,0,0,0,0,0,0,0,1,0,0
Agomelatine [VALDOXAN],,(À TRAITER),(À TRAITER),(À TRAITER),0,0,0,0,1,0,0,0,0,0,0
Alfusozine [XATRAL],Contrôle des indications :,Antécédent d'Hypertrophie Bégnine de la Prostate :,Prise en charge de l’hypertrophie bénigne de la prostate. Médicament majorant le risque d’hypotension orthostatique avec risque de chutes en particulier chez les personnes sujettes à des hypotensions orthostatiques et/ou traitées par des antihypertenseurs. A prendre en compte. Privilégier des inhibiteurs sélectifs du récepteur alpha 1A tels que la Tamsulosine et la Silodosine.,(À TRAITER),0,0,0,0,0,0,0,0,0,1,0
Alfusozine [XATRAL],Contrôle des intéractions médicamenteuses :,Si co-prescription urapidil :,"L’utilisation concomitante de l’urapidil et du alfusozine fait l’objet d’une association déconseillée (Thésaurus de l’ANSM, 2020) à cause d’une majoration de l'effet hypotenseur à risque d’hypotension orthostatique sévère.",(À TRAITER),0,0,0,0,0,0,0,0,0,1,0
Alfusozine [XATRAL],Contrôle des contre-indications et précautions d'emploi :,Antécédent d'hypotension orthostatique :,"Attention ! Médicament contre-indiqué en cas d'antécédent d'hypotension orthostatique (Risque élevé de chute chez la personne âgé). Préconiser l'arrêt du traitement et privilégier, si un traitement pharmacologique est nécéssaire, un inhibiteur de la 5-alpha réductase (ex : Finsatéride) avec surveillance d'apparition de cas d'anxiété et/ou de dépression sous ce traitement.",(À TRAITER),0,0,0,0,0,0,0,0,0,1,0
Alginate de Sodium / Bicarbonate de Sodium [GAVISCON],Contrôle des indications :,Antécédent de RGO ou brûlure gastrique :,"Prise en charge symptomatique du reflux gastro-œsophagien ou des brûlures gastriques. œsophagien ou des brûlures gastriques. Le GAVISCON est un traitement de crise. Préconiser de mentionner ""à prendre à distance des autres médicaments"" sur l'ordonnance. À reprendre si besoin.",(À TRAITER),0,0,0,0,0,0,0,0,0,0,0
Alginate de Sodium / Bicarbonate de Sodium [GAVISCON],Contrôle des posologies :,"SANS la mention ""si besoin"" :","Prise en charge symptomatique du reflux gastro-œsophagien ou des brûlures gastriques. Le GAVISCON est un traitement de crise. Préconiser de mentionner ""si besoin"" et ""à prendre à distance des autres médicaments"" sur l'ordonnance. ",(À TRAITER),0,0,0,0,0,0,0,0,0,0,0
Alginate de Sodium / Bicarbonate de Sodium [GAVISCON],Contrôle des posologies :,"Avec co-precription d'un IPP et SANS la mention ""si besoin"" : ","Prise en charge symptomatique du reflux gastro-œsophagien ou des brûlures gastriques. Le GAVISCON est un traitement de crise (contrairement au GAVISCON). Préconiser de mentionner ""si besoin"" et ""à prendre à distance des autres médicaments"" sur l'ordonnance. ",(À TRAITER),0,0,0,0,0,0,0,0,0,0,0
Allopurinol [ZYLORIC],Contrôle des indications :,Antécédent d'hyperuricémie symptomatique :,"Traitement de l'hyperuricémie symptomatique. Uricémie cible < 360 µmol/l, voire 300 µmol/l. A reprendre.",(À TRAITER),0,0,0,0,0,0,0,0,0,0,0
Allopurinol [ZYLORIC],Contrôle des posologies :,80 < DFG < 100 ml/min et dose > 300 mg/j :,"Avec un DFG de … ml/min, privilégier la dose maximum préconisée qui est de 300 mg/jour.",(À TRAITER),0,0,0,0,0,0,0,0,0,0,0
Allopurinol [ZYLORIC],Contrôle des posologies :,40 < DFG < 80 ml/minet dose > 200 mg/j :,"Avec un DFG de … ml/min, privilégier la dose maximum préconisée qui est de 200 mg/jour.",(À TRAITER),0,0,0,0,0,0,0,0,0,0,0
Allopurinol [ZYLORIC],Contrôle des posologies :,20 < DFG 40 ml/minet dose > 100 mg/j :,"Avec un DFG de … ml/min, privilégier la dose maximum préconisée qui est de 100 mg/jour.",(À TRAITER),0,0,0,0,0,0,0,0,0,0,0
Allopurinol [ZYLORIC],Contrôle des posologies :,DFG < 20 ml/minet dose > 100 mg tous les 2 jours :,"Avec un DFG de … ml/min, privilégier la dose maximum préconisée qui est de 100 mg tous les 2 jours.",(À TRAITER),0,0,0,0,0,0,0,0,0,0,0
Alimemazine [THERALENE],Contrôle des indications :,Antécédent d'insomnie :,"Prise en charge de l’insomnie occasionnelle ou transitoire. Médicament anticholinergique, antidopaminergique, antiadrénergique et antihistaminique centrale déconseillée chez les sujets âgés qui, du fait de leur plus grande sensibilité, présentent un risque accru d'hypotension orthostatique, de vertiges, de sédation, de confusion, d'effets extrapyramidaux avec troubles de la marche, le tout majorant le risque de chute. Privilégier les Z-drugs  (zolpidem ou zopiclone). Prescription max 4 semaines.",(À TRAITER),1,1,1,1,1,1,0,0,0,1,1
Alimemazine [THERALENE],Contrôle des contre-indications et précautions d'emploi :,"Antécédent d'hypertrophie bénigne de la prostate (co-prescription d'alfusozine, tamsulosine, permixon, tadenan, finastéride, dutastéride ou combodart) :","Médicament anticholinergique contre-indiqué chez ce patient atteint d’une hypertrophie bénigne de la prostate. Préconiser l’arrêt de l’alimemazine. Si un traitement pharmacologique est nécéssaire, privilégier un traitement par zopiclone ou zolpidem à posologie minimale efficace pendant maximum 4 semaines.",(À TRAITER),1,1,1,1,1,1,0,0,0,1,1
Alimemazine [THERALENE],Contrôle des contre-indications et précautions d'emploi :,Antécédent de glaucome à angle fermé :,"Médicament anticholinergique contre-indiqué chez ce patient présentant un antécédent de glaucome à angle fermé. Préconiser l’arrêt de l’alimemazine. Si un traitement pharmacologique est nécéssaire, privilégier un traitement par zopiclone ou zolpidem à posologie minimale efficace pendant maximum 4 semaines.",(À TRAITER),1,1,1,1,1,1,0,0,0,1,1
Alimemazine [THERALENE],Contrôle des contre-indications et précautions d'emploi :,Patient admis aux urgences pour globe vésical :,"Médicament anticholinergique contre-indiqué chez ce patient admis aux urgences pour globe vésical. Préconiser l’arrêt de l’alimemazine. Si un traitement pharmacologique est nécéssaire, privilégier un traitement par zopiclone ou zolpidem à posologie minimale efficace pendant maximum 4 semaines.",(À TRAITER),1,1,1,1,1,1,0,0,0,1,1
Alimemazine [THERALENE],Contrôle des contre-indications et précautions d'emploi :,Antécédent d'épilepsie :,Attention ! Médicament abaissant le seuil épileptogène. Réévaluer la balance bénéfice/risque en cas d'apparition ou d'augmentation des crises épileptiques malgré le traitement de fond. ,(À TRAITER),1,1,1,1,1,1,0,0,0,1,1
Alimemazine [THERALENE],Contrôle des intéractions médicamenteuses :,Co-prescription médicaments anticholinergiques (voir listes des anticholinergiques) :,"Attention ! La co-prescription du [Inserer le nom du médicament], autre médicament anticholinergique, expose à une une addition des effets atropiniques périphériques (constipation, rétention urinaire, trouble de l’accomodation, tachycardie) et centraux (troubles confusionnels). À proscrire chez la personne âgée. Réévaluer la balance bénéfice-risque et préconiser l'arrêt d'un de ces 2 médicaments.",(À TRAITER),1,1,1,1,1,1,0,0,0,,
